Model,Number of Features,Best F1,Best AUC,Best Accuracy,Best TPR,Feature Selection Method
KNN,100,0.8493680239845256,0.9178346044199703,0.9284077555816687,0.8986062717770034,ks test
MeanEnsemble,100,0.7625721134848924,0.8500475134621475,0.892626321974148,0.7728222996515679,ks test
RandomForest,100,0.8172472747295118,0.8542197639758615,0.9284136310223268,0.7196283391405343,ks test
KNN,200,0.8348096046568033,0.9122401988255648,0.91975910693302,0.8986062717770034,ks test
MeanEnsemble,200,0.7355735462647738,0.8263638800224167,0.8850470035252644,0.7198606271777003,ks test
RandomForest,200,0.7971565519157433,0.8440474159986355,0.9208108108108108,0.7048780487804878,ks test
KNN,500,0.8376778065619058,0.915719646207451,0.9197414806110459,0.908362369337979,ks test
MeanEnsemble,500,0.7135977610807723,0.8064017283529479,0.8807050528789657,0.6715447154471545,ks test
RandomForest,500,0.7981034077555818,0.8443377760450931,0.9208343125734431,0.705458768873403,ks test
KNN,20,0.8158084626086044,0.8801072910829009,0.9175910693301997,0.8119628339140533,gmm test
MeanEnsemble,20,0.7177934082158485,0.8328480462626804,0.8633666274970622,0.7775842044134726,gmm test
RandomForest,20,0.7848618048618049,0.8410081788130569,0.9132373678025851,0.7099883855981417,gmm test
KNN,30,0.799422293838985,0.8725989457696774,0.908918918918919,0.8067363530778164,gmm test
MeanEnsemble,30,0.7514166911095568,0.859687060906573,0.8785193889541715,0.8256678281068526,gmm test
RandomForest,30,0.7897593719904934,0.8413082852107241,0.9164806110458285,0.7049941927990708,gmm test
KNN,40,0.7764944892279521,0.8644396254152351,0.8958930669800236,0.8072009291521486,gmm test
MeanEnsemble,40,0.736245831488539,0.8516536309219237,0.8687544065804935,0.8207897793263648,gmm test
RandomForest,40,0.8031373174416652,0.848168092070531,0.9218977673325499,0.7145180023228803,gmm test
KNN,50,0.7904649381509827,0.8744885196104708,0.9013043478260869,0.8259001161440185,gmm test
MeanEnsemble,50,0.7403432252976752,0.8531103043298165,0.870945945945946,0.8209059233449476,gmm test
RandomForest,50,0.8100303122054393,0.8558262875336047,0.9229964747356052,0.7340301974448316,gmm test
KNN,60,0.8220401796066362,0.8945428555184651,0.9164806110458285,0.8548199767711961,gmm test
MeanEnsemble,60,0.7413970282468327,0.8548500280207598,0.8709341950646298,0.8257839721254354,gmm test
RandomForest,60,0.8135818999553678,0.8556013092598459,0.9251527614571092,0.7293844367015099,gmm test
KNN,70,0.8272829667712571,0.8994209042989529,0.9186545240893066,0.8645760743321718,gmm test
MeanEnsemble,70,0.7431156426701067,0.8518449030644153,0.8741891891891893,0.8113821138211381,gmm test
RandomForest,70,0.7984240052185256,0.8451459109995696,0.9197179788484137,0.7098722415795587,gmm test
KNN,100,0.790737233157186,0.8788922459654167,0.9002056404230319,0.8403019744483158,gmm test
MeanEnsemble,100,0.7252960147273309,0.84519301836375,0.8611809635722679,0.8162601626016259,gmm test
RandomForest,100,0.8121432146636002,0.8536873695410281,0.925141010575793,0.7241579558652729,gmm test
KNN,200,0.8315682048826097,0.9063217270534343,0.9186780258519388,0.8839721254355399,gmm test
MeanEnsemble,200,0.6977671198595627,0.8289011801206924,0.8438307873090481,0.8018583042973286,gmm test
RandomForest,200,0.7934657250631044,0.8383612322636713,0.9197414806110459,0.6907084785133565,gmm test
KNN,500,0.8365545225020732,0.9111997758339221,0.9208225616921268,0.8937282229965156,gmm test
MeanEnsemble,500,0.682180664148593,0.823231646402378,0.8297414806110458,0.8114982578397212,gmm test
