Gene
VNN2
SULT1B1
PPP1R26
CPB2
BSX
GBP4
FLRT3
RPS15
KIAA1257
NR0B2
MYC
RORB
PTPRK
TSHZ2
KDELC1
HABP2
UBD
GPX2
NHSL1
AGAP1
PPP1R3D
NEDD4L
SPHK2
NR2F2
ABCD2
TJP1
EXT1
CCDC39
ANKH
CLEC4D
CFB
PDE4DIP
ZFHX4
FAM81A
HPX
ARHGDIB
SLC28A1
MAGI1
SORBS2
MGST1
HSD17B6
RCL1
ADCY9
ENPEP
MMP14
HAL
ABCC9
PLCH1
ARSJ
ZNF704
NFIB
HGFAC
ART4
CLEC4E
