Gene
ANKUB1
CNPY3
RPL34
C1QTNF3
GPR149
MAP1LC3B2
BID
GPR4
LAT2
PPM1F
PDLIM7
LTB4R
B3GNTL1
TMPRSS11D
BTNL8
CSK
TMEM71
TEX9
NFAM1
PECAM1
EHD1
S100A2
GLB1L
STK16
CRLF3
C10orf54
GRAMD1A
TWF2
S100A5
NPL
CILP2
SF3B3
TK2
CRISP3
GPR25
DCT
TG
CPQ
RAB37
CD79A
FOLR3
TNFSF14
COG4
PSTPIP1
SPATC1
M1AP
ICAM3
ABCA9
ANP32A
CEACAM4
CXCL1
KRTAP16-1
GPR97
INPP5D
