Gene
RNF24
LYVE1
RAB12
KIAA0319L
ABL1
L3MBTL3
NDEL1
GAREM
SYTL3
HELLS
LRMP
LYPD8
PTPRC
IKZF2
MPPE1
RNASE6
PADI4
RGL4
BCL7A
WDFY4
UBN1
MGRN1
ZNF362
SELL
PRDM15
UTP20
KTN1
HDAC4
C19orf35
FCN1
CMTM2
BMI1
PGD
DLC1
EYS
EPHB1
FAM217B
RPL6
IGSF6
TREML2
CD93
NCF2
NLRP12
RAB36
KAT8
ZCCHC4
