L3MBTL3
KLF16
H2AFZ
AREG
HSPA9
LRRC37A3
HUS1
RNF151
TRHDE
BRD9
WDR20
RXFP1
TRIP13
ZNF569
CHML
ITSN1
ZNF362
ZSWIM6
C17orf58
ZNF627
BMI1
RPL6
C17orf98
LMAN2L
SEPT2
CLTCL1
CLEC18B
DHDH
PPP1R27
ZNF570
PRKACA
CLPB
MMGT1
AHCYL2
RAB20
ZCCHC4
FIG4
MFAP3
SEC24B
PIM1
ZNF282
TMEM231
SSBP2
KRTAP10-5
ARHGEF35
S100A13
SAYSD1
NOP16
C1orf228
TAS1R2
PLSCR1
ERLIN1
ZNF596
MEX3C
MRPS18A
SMIM10
DCST2
GPR155
SOCS4
GRAMD4
TMEM100
ZNF519
HMGB3
PBX3
NDUFB11
MEMO1
RPL31
CRY1
ASPSCR1
TVP23B
GALNT4
HIGD2A
PRRT3
ANKEF1
RPN1
TBL2
APOD
ZNF772
RELB
PARS2
YBX1
RPS6KA5
IGF1R
POC1B-GALNT4
ABHD3
DPP10
CRYZL1
SDK2
SAP30
TMX2
JMJD1C
USP31
WASF1
SAMD4B
LYRM1
TTC40
ANKRD12
HINFP
IDH1
POC1B
HS6ST2
GALNT5
FOXQ1
MARS
SYF2
THOC7
CHD7
FAM114A2
TMEM247
CDC40
THNSL2
C9orf129
TXLNG
PRR15
SPECC1
PARP14
HIVEP2
ALG12
C22orf46
SUSD5
SUV420H1
PCDH11X
TGIF1
CD8B
DCUN1D3
DDX39B
NASP
PSMB6
TAF4
AGO2
ZNF346
MTF2
RAP2A
SSU72
HECA
DCAF6
MGST3
TFRC
GH2
TSHR
ZNF251
PLK5
XPA
AQP12B
FERMT1
HDAC4
SLC25A14
CCDC65
MED19
TNRC6A
DEFB129
RBM12B
CCDC104
ITGAD
RASA2
USP10
CBR3
JRK
IL23A
ZNF607
GATAD1
ADCK1
MLYCD
ZNF764
STK3
PDE4DIP
CD96
ATP5F1
DDX60
PAQR7
C2orf27B
SEMA6C
WDHD1
PAPOLB
IFNL2
RPL5
LIMK1
ARL17A
UBE2U
SLC39A4
PAIP1
SOCS3
GPR89A
CGREF1
TEX2
MBD3
WDR77
ITSN2
RNF187
ZNF708
WBP11
ZNF43
SRP54
UBP1
UBE2I
TTC23
MRPL28
BMP8A
FAM209B
PTS
TMEM53
LRCOL1
PLCL1
AP5S1
PSCA
TXK
POU3F2
NPC1
RBM10
CATSPERD
USP42
HAUS5
ZNF812
ELOVL3
RSL1D1
RPGRIP1
PSD3
TTC39B
MYL6B
CRHR1
HGS
FAM120A
GAL3ST3
CRB2
TRMT10B
SERHL2
DAD1
TBCCD1
ZBTB26
ETV3
C19orf48
RBM46
PLAC1L
ARIH2OS
PSMG1
TMEM121
ETV7
RRAGC
GRN
C1orf56
UBE3D
RAB18
TCF3
VSIG10L
PRR5L
ZNF714
ARL5B
C15orf61
NEUROG3
TIPARP
SNTB2
DNAL1
ZSCAN5A
UQCRFS1
C1orf174
MMP14
C12orf60
ULBP2
TBCE
TRAF3
LRRC28
H3F3C
IGLON5
CSE1L
RHEBL1
GHDC
LIN7C
KLHDC1
EVPLL
ZNF28
KMT2C
TRMT1
TP53BP2
MPC2
SLC23A3
DDX27
RBPJ
HSP90AA1
B4GALT2
PCDHB12
WDR52
GBP6
GALR3
ATG10
TTLL9
SETD9
HYLS1
CEP57
JMJD7-PLA2G4B
WBSCR27
ZNF75A
FBXO47
TCF7L2
PAPD7
ERGIC2
RAB11B
PHLDA1
KRTAP10-4
FAM60A
TMEM101
TIGD5
LONP1
CMTM4
RPL17-C18orf32
EEF1D
BNC1
ASL
TRIM4
SMCO3
RPS15
BSX
CNOT4
RBFOX3
TSPYL5
AKAP2
PPP6C
ZNF879
CDPF1
ESR2
CLRN1
SLC51B
BEX2
BRF2
ZNF79
CLDN3
TMEM167A
VEGFB
FGF4
GAB3
TENC1
TSNAXIP1
RMND5B
ZNF418
ISPD
MSMP
USP14
CEP68
HTRA3
CYP21A2
AHCTF1
TSGA10IP
USH1G
FAP
LRCH1
RGS18
GTF2IRD2
ZNF506
C1orf216
FAM168B
CETN3
ANGPTL2
MBD2
CCNE2
APOBEC3C
GDF10
NBPF24
RPS12
IGFBP2
ANXA7
C19orf67
RBBP7
FOXN3
TM2D3
SLC24A2
PRKD1
GPR18
SFR1
RPLP1
CHST1
SLC9A6
IL17RE
FAM159B
RNASE13
PTPDC1
FOXK2
DUT
MSC
TTL
RBM7
GPN2
KLRK1
PTPN7
KIAA0754
MAK
ST6GALNAC3
SERPINB4
IRF2BP2
PCDHGC5
XKR7
DPY19L1
RHBDD1
MFSD1
KPNA3
FANCG
BLVRB
KLHL28
SMCR8
EMC2
DOCK9
ARL16
ZC3H7B
RPS8
GFM1
MCF2
ABAT
PRPS1
PPP1R2
NCAPH
PRSS3
NTN5
CCDC101
ZNF208
PSMF1
GPR107
FCGR1B
C2CD4B
SLC35E2B
GMNN
HIST2H3D
ECH1
ABCB9
NAPA
RANBP10
PPP1R36
CD151
FAM120AOS
ARIH2
PIGU
IL17REL
ZNF578
ROPN1B
NPL
PRPF40B
CD1C
ADAMTS3
SPATA25
PPRC1
HMGA1
DPH6
C11orf71
ASPH
FLG2
SRRT
DTHD1
RPL36A-HNRNPH2
TAF5L
RPS15A
TIGD7
PLD6
MSL2
PPP1R3D
VPS33B
FAM217B
C17orf75
JUND
CAND2
BRD4
FOCAD
WTH3DI
CBX5
DNAH7
DMRT3
TMF1
RTP4
MRP63
UHRF2
GATSL3
DYNC1H1
ZNF804B
CLDN15
DHPS
LYSMD4
LRFN2
COPZ1
DCT
LRMP
UBE2N
ATP5G3
CUL3
ALS2
ATAD2B
NELFCD
PGA3
COX6B1
KLHL9
KCNS1
ARL9
EDA2R
CCDC144NL
PFDN6
SRRM1
CORO2A
CCR2
U2SURP
LAP3
ZBTB42
PUS1
TDRD1
DVL1
HSP90B1
CDIP1
ZFP82
PDS5B
C1orf64
ORC2
KRTAP26-1
CTSK
CD19
HEATR1
WDR46
GGACT
ZKSCAN2
PALD1
HSPA4L
RSAD2
RILPL1
LSAMP
TBRG4
CNPY2
IL31RA
TOMM40
RPL8
PCDHGA6
SLC6A19
PSMG4
ZNF71
RDH10
ZNF135
RFC5
THOC3
TAF7L
TRIM24
HIF3A
HPRT1
VEPH1
BEX4
CALY
CLEC10A
MAGEC3
SLC10A3
SND1
SRRM5
FGFBP2
ATM
EIF2D
EML6
MKI67IP
RWDD1
CCDC155
URB2
MYCT1
FAM218A
CEP152
EIF3L
MSL3
SLC37A2
KIAA2022
NUP62CL
ERI2
LRRTM1
NT5C1B
FBXO45
PLEKHA8
CEP76
RAB12
HIST2H2BF
ZMAT1
GIGYF1
IL1RAP
BAIAP2L1
AEBP1
CXorf65
RPL36A
SLC25A53
TMEM134
PRMT8
VDAC3
CMPK1
CDK16
ZMYND11
RPA3
WDR19
TFR2
AGXT2L2
JMJD7
HIST1H3C
LGALS4
C11orf30
ASB16
HN1
TMEM244
PCSK1N
SULT2B1
USHBP1
EML4
KRTAP16-1
MSANTD4
SMG7
IDI1
EBNA1BP2
COX6A2
CAPS
HMBS
SPTY2D1
CCT8
PIH1D3
C10orf90
WDR41
FLNC
LRAT
UBXN7
ATPAF1
RPS4X
TBCA
ZNF614
DENND2A
NBPF4
FAM3B
NFXL1
NCL
INO80D
DAGLB
C5orf24
CXorf64
TRPC4
PAN3
RLF
ZNRF3
CD164
TMCO4
UBE2F
C2orf61
FOPNL
SF3A3
MSI2
SH3GL1
MED15
USO1
CELF1
NR4A2
LY6H
C7orf61
RING1
FOLR3
CTDP1
MTG1
MYEOV
ZNF624
ABCC10
MND1
GPR3
HSD3B7
USP54
NAP1L4
KLHL40
KLRD1
RPS10
C16orf46
TNKS
GCC1
GPR62
ASTL
GK5
PSMG2
APOL6
IBA57
AKT1
TXN
MFN2
AHSA2
COLEC10
MPRIP
POGZ
BATF2
FAM24B
EYA3
BOD1L1
RDX
CSNK2A1
NKX3-2
ZRSR2
SPTBN4
DCTN1
ZNRF2
PDCD1LG2
PRR21
NMT2
RNF145
GYPA
C2orf68
DDX26B
GNAT2
RPL17
RHOC
ZBTB39
NACC1
RIBC1
TSSK3
NUDT16
POLR1A
GABARAPL1
SLC14A2
DCP1A
NDUFB10
FAM96A
NPAT
ZNF675
CA2
TMEM42
WDR75
PACRG
LAMP1
MRPL3
ERC1
OOEP
PLD5
AGAP8
SYMPK
TTC32
VBP1
PPP2CA
SLC6A17
SLC13A2
ZSCAN1
ZNF257
ZNF202
YIPF3
OTOF
PRSS56
MAP2K5
FBLN7
CHRFAM7A
C22orf39
GMPPB
LIME1
FGFRL1
AVL9
ARF4
NT5C1B-RDH14
BTN2A1
PLCH1
ATXN10
SFXN5
KIAA1731
TRIM58
