RAB12
CMTM2
RNF24
NLRP12
GAREM
NR2F2
SELL
BMI1
LRMP
LYPD8
FAT1
UBN1
TJP1
PROX1
KTN1
CD93
MGRN1
KIAA0319L
FAM217B
FCN1
NDEL1
HELLS
HDAC4
KAT8
PRDM15
ABL1
L3MBTL3
RNASE6
ZNF704
NFIB
FOLR3
DLC1
PPP1R26
MMP14
PTPRK
ADCY9
CLEC4D
EXT1
IKZF2
BTNL8
LPHN2
PADI4
CXCL1
ZNF362
EPHB1
ZFHX4
BCL7A
MAGI1
MPPE1
PGD
IGSF6
TGFBR2
HAL
SULT1B1
ZCCHC4
PDE4DIP
CNN3
RCL1
PLEK
RPL6
MYC
UTP20
LRIG3
WNT5A
CELF2
PPP1R3D
TK2
GPR126
TREML2
ARHGDIB
FAM20A
ABCB1
CLEC4A
PSTPIP1
AGAP1
GAPT
RPS15
SH2D6
STK16
TMEM71
WDFY4
S1PR1
TMEM176B
IGFBP4
COG4
NPL
GBP4
RPL34
RGL4
NCF2
PAM16
SASH1
SF3B3
VNN2
CCDC85C
AMICA1
B3GNTL1
PTPRC
IL7
KCNJ15
NCOA4
CRLF3
TWF2
RPL32
ANKH
NOP16
HIGD2A
NRP1
RGS18
TREM1
PLCH1
RDH10
ICAM3
ANP32A
MCC
RORA
EVI2B
NEDD4L
KDELC1
TLR4
PPARGC1A
ALOX5AP
EYS
SNX7
TMEM176A
EHD1
HCLS1
SMAP2
CEACAM4
GLB1L
MNDA
TNFSF14
SHKBP1
PBX2
C19orf35
GPR137B
SNX18
TNFRSF21
EPB41L4A
CLEC4E
RPL7
KCNE3
CNKSR3
GATA6
LAT2
WIPF1
DDIT3
MRPS25
LTB4R
MEIS2
QPCT
FBXL5
STEAP4
GPRC5B
GPSM3
MYO1E
TNFSF13B
BID
SH3BP5L
RPP30
PRDM11
PSD4
EVI2A
KIAA1257
NCF4
NOTCH4
MBD6
DDX39B
OXER1
TLN2
FYB
CSF2RB
SOX6
GLI3
FAM53C
DST
GRAMD3
MAPK13
HMGB3
SLC22A15
DPEP2
ZNF777
TRIM32
SLC18B1
MPP6
AKR1C3
LCP1
TEX9
ASTN2
RPL31
C5AR2
IL16
MARS2
GRM8
RORB
SYK
LILRA1
NFAM1
INPP5D
LARGE
LRRC37A3
BCL2A1
TMEM55A
BIVM
HNF4G
MANSC1
GRAMD1A
USP42
SLC39A14
PPM1F
C11orf95
PTPN7
DENND3
MEFV
CCDC69
GPR97
KRR1
RTP4
ZFHX3
ZFP36L2
MMP9
HEY2
PROKR2
KIAA1211L
APOL3
METTL24
MAF
CLN3
APOBR
DOCK1
SLC19A1
SPHK2
CNPY3
FAM89A
CSK
ONECUT2
WWTR1
ARHGEF2
CCNJL
MSMO1
DOCK8
LILRA2
PPM1M
PLEKHG3
ELOVL6
CSF3R
EDARADD
TRAF3IP3
HSPA6
MYO1B
DGKQ
PXN
APOBEC3A
FST
KIAA0226L
MTAP
SLIRP
RPL5
COL18A1
ZNF618
ADHFE1
SLC4A4
ITGA5
RAPH1
ALKBH1
RHOG
PHOSPHO1
SPRED1
RGL2
IL6R
C10orf54
PPARG
FGD3
CADPS2
FNIP2
PANK1
FCAR
PDLIM7
TRAF3
KIAA1324
IFITM10
TLR6
MBNL2
CPQ
DNAJC30
LIME1
PILRA
APBB1IP
IL15
RBPMS
MRPL32
GPATCH4
SQRDL
SP3
CFP
TMEM39A
EHHADH
RPS14
C10orf114
ANXA11
RFTN1
CELSR2
WBSCR22
ARHGAP15
S100A12
RPL29
DEF6
TLK2
LTB
MBP
OSR1
NR5A2
FKBP1A
MPZ
PALLD
RPL18
GJB6
SEP15
PSMA2
XPO6
MAP2K3
ABTB1
CRISPLD2
CCNO
MLX
FOXA1
FAM92A1
GLYR1
TSTD3
ACOXL
RBM19
PRAM1
MYADM
HNMT
SNRPF
DHX34
NBEAL2
S100A8
CXCR1
PLBD1
PPP2R1B
APOC1
STK40
ARRB2
TRPM2
COX16
