NLRP12
RAB12
SYTL3
CMTM2
ANKUB1
KAT8
BMI1
RAB36
TK2
MGRN1
GPR25
HELLS
EPHB1
STK16
TREML2
PADI4
EHD1
RNF24
COG4
ZNF362
SF3B3
CD93
FOLR3
M1AP
CILP2
PSTPIP1
ABL1
LYPD8
C19orf35
C1QTNF3
RNASE6
ABCA9
S100A5
L3MBTL3
MAP1LC3B2
KRTAP16-1
FAM217B
LAT2
MPPE1
GAREM
UBN1
GLB1L
NDEL1
IGSF6
BCL7A
KTN1
B3GNTL1
EYS
DCT
HDAC4
CXCL1
KIAA0319L
BID
FCN1
GPR149
ZCCHC4
INPP5D
SELL
IKZF2
PPM1F
PRDM15
PECAM1
LRMP
GPR4
ICAM3
TG
S100A2
TWF2
CD79A
NCF2
CRISP3
GPR97
GRAMD1A
NFAM1
TMEM71
RGL4
RPL34
WDFY4
CEACAM4
SPATC1
BTNL8
PGD
CSK
UTP20
C10orf54
LYVE1
ANP32A
LTB4R
TEX9
PTPRC
RAB37
TMPRSS11D
CPQ
TNFSF14
PDLIM7
RPL6
DLC1
NPL
CNPY3
CRLF3
SLC19A1
ADCY9
FGD3
HCLS1
PAM16
CAMP
C10orf71
SMAP2
ZNF704
KIAA1211L
FAM53C
PSD4
SERPINB2
HAL
KIAA1257
RPL32
VNN2
RXFP4
TGM3
CEL
PBX2
LSP1
NBEAL2
FGD5
TREM1
RPP30
IL16
SH2D6
RGS18
ARHGEF2
CCDC69
AMICA1
CLEC4D
PILRA
DDX39B
CCDC64B
MYH13
DGKZ
MAPK13
PPP1R3D
KIAA1324
SERPINE3
PRDM11
GPSM3
MYC
EVI2B
PISD
NFASC
DENND3
OXER1
MRPL32
CD37
MANSC1
C10orf91
PPP1R26
SHKBP1
PLEKHG3
NCF4
SLC18B1
NOTCH4
TNNI2
NOP16
HIGD2A
MRPS25
ITGA5
MBD6
AOC2
SLC2A5
RHOG
ACOXL
DPEP2
TLN2
TMEM39A
ABTB1
LILRA2
GSDMC
CSF3R
KDELC1
CFP
CPNE4
FMNL1
KIAA0226L
SAG
PLCH1
PSMA2
IL6R
PTPN6
IL17RA
RPL5
ARHGDIB
QPCT
MNDA
ZNF777
ADORA2A
MARS2
APOBR
KRR1
KCNS1
RHO
ALOX5AP
RPS15
DDIT3
ZFP36L2
APOBEC3A
MBP
PHOSPHO1
MOV10L1
PPM1M
CLN3
RPL31
PROKR2
FTL
STEAP4
RNF44
PRAM1
RPL18
LRRC37A3
SLC12A3
C5AR2
SULT1B1
MPP6
ZNF519
SLC6A6
MAP2K3
C11orf42
ATP13A5
EXT1
APBB1IP
EVI2A
ALKBH1
DEF6
MEIS2
TRAF3IP3
SLIRP
RORB
CCDC153
SLC8A2
LILRA1
TLR4
ZNF618
CCNJL
NRXN1
RDH10
CLEC4A
NCOA4
SPHK2
LCP1
PTPN7
SLC22A15
PGLYRP1
ST8SIA2
PHF10
BIVM
LTB
SEZ6
FNIP2
