CMTM2
RAB12
GAREM
TJP1
NLRP12
RNF24
LRMP
NR2F2
BMI1
MPPE1
NDEL1
SELL
MMP14
PDE4DIP
ART4
FAM217B
KIAA0319L
NFIB
RAB36
SULT1B1
RCL1
L3MBTL3
DLC1
ARSJ
SYTL3
HDAC4
CD93
HABP2
ZFHX4
ADCY9
PPP1R26
GPX2
ENPEP
EXT1
UBN1
BSX
ANKH
PADI4
CLEC4D
SLC28A1
ZNF362
MAGI1
TSHZ2
IKZF2
HELLS
GBP4
MGRN1
ZCCHC4
BCL7A
RPL6
PTPRK
TREML2
RORB
KDELC1
RNASE6
PLCH1
FAM81A
PRDM15
LYPD8
HAL
VNN2
FCN1
RGL4
LYVE1
ZNF704
ABL1
NHSL1
KAT8
UBD
EYS
NEDD4L
FLRT3
UTP20
KTN1
PGD
PPP1R3D
CLEC4E
HPX
ARHGDIB
RPS15
KIAA1257
IGSF6
ABCD2
NCF2
NR0B2
EPHB1
AGAP1
WDFY4
MGST1
CCDC39
ABCC9
HGFAC
CFB
PTPRC
SORBS2
CPB2
MYC
C19orf35
SPHK2
HSD17B6
TMEM71
IL16
LILRA1
DOCK1
AMICA1
CXCL1
S1PR1
PSTPIP1
BTNL8
IL32
AADAC
TOX3
HNF1A
SF3B3
CCDC85C
RDH10
CELF2
MPP6
NOP16
HIGD2A
PTGFR
B3GNTL1
MEIS2
APCS
LYPD1
SLC10A1
TMPRSS2
TK2
CLEC4A
C6orf141
SNX18
NUPR1
ENPP2
ZNF519
SLC25A47
SERPINF2
SERPINA7
S100A5
GJB1
SLC17A4
EHHADH
TEX9
TGFBR2
ABCG8
HSD17B2
NNMT
IL7
GPR137B
MSMO1
UGT2B15
ICAM3
FRK
ITIH2
INHBC
NPL
SLC22A9
GBP7
RGS18
COG4
CEACAM4
ABCB1
SGK2
TNFSF14
SOX9
CCNJL
RPL7
ANKUB1
ABCB11
FAT1
PALMD
C1S
BIVM
ALDH8A1
CCL15
TM4SF4
GAPT
KCNJ3
FOLR3
SLCO2B1
INPP5D
STK16
CLDN1
CRLF3
SH3BP5L
LAT2
DDX39B
G6PC
CAV1
LTB4R
CHST9
CPQ
GLI3
TWF2
ANKS1B
ZFHX3
PRDM11
PFKFB1
STEAP4
CYP3A5
CCDC69
RPL34
PROX1
NCOA4
HAO1
KCNJ15
TREM1
NPC1L1
PLA2G12B
MAP1LC3B2
FST
WNT5A
ASPA
APOA2
CNKSR3
TLN2
RND3
PAH
LRIG3
HEY2
FNIP2
MTAP
ASTN2
CADM1
C5
FTCD
DENND3
LECT2
PLEK
CYP2C8
DPEP2
NFAM1
ABCG5
EVI2B
TBX3
PSMB6
HCLS1
USP54
FETUB
SHKBP1
F2
C5AR2
ALOX5AP
DST
PILRA
MCC
SPATA18
DIO1
LGALS4
LCP1
TSLP
MAT1A
RPL31
EHD1
HNF4G
GPR97
LRRC37A3
SMAP2
TNFRSF21
EDARADD
ELF3
TMPRSS11D
LRP1B
OSR1
PON1
ZNF777
SNX7
SPP2
PAM16
ADH1A
KIAA0226L
ANKS4B
SH2D6
RPL13
THRSP
KCTD14
WIPF1
SPTLC3
SLC25A21
BAAT
VSNL1
ADAMTS16
HTRA1
ADHFE1
CREB3L3
FAM65B
APOB
EVI2A
ZNF202
BCL2A1
MYO1E
CNPY3
SLC22A1
SASH1
SLC10A5
ALDH1A1
FGF14
UGT2B10
SLC39A14
TRMT6
C4BPB
MET
FGD3
SLC2A12
B4GALT2
APOBR
TRAF3IP3
C10orf114
CXCR2
RPL32
FMO3
ALDOB
LEAP2
ABCC2
RFTN1
RPL18
MCM8
TRIM32
SELPLG
KCNE3
DOCK8
MARS2
HSPA6
TMPRSS6
C8B
C1orf21
AKR1C2
HMGB3
BCL2L14
ALPK2
QPCT
TLR4
CDYL2
GDA
CPN1
TMEM176B
EPS8
TDO2
GYS2
METTL7B
LDHD
SLC18B1
MNDA
METTL24
DEFB1
RPL29
ANP32A
HSD17B13
NCF4
TMEM39A
IGFBP1
AMBP
GRAMD3
FYB
GRM8
SLC35G1
FBXL5
PTPN21
KRR1
ALKBH1
HRG
CADPS2
NUDT12
FAM171A1
GLYR1
CRISP3
SNRPF
CSF3R
KRTAP16-1
USP42
FAM53C
FABP1
PDLIM7
RPP30
ABCA9
ADH6
SLC19A1
TLE2
CLN3
SOX6
RDH16
FNDC5
PIK3R3
SERPINA3
SLIRP
MINPP1
GPD1
CD38
PPM1F
MRPS25
LIME1
TGM3
RPS6KL1
ASXL3
DGKQ
RPL7L1
TG
GPR37
TRAF3
JMJD1C
GHR
SMLR1
NBEAL2
RPS14
HNF4A
HLF
SLCO1B1
SAA4
LPHN2
RPL5
MBNL2
RBM19
IYD
NR1H4
SEP15
SERPINB2
